"pk_species";"ssi";"sti";"thermal_niche_mean";"thermal_niche_range";"thermal_niche_max";"thermal_niche_min";"stri";"exp_stri";"trophic_vegetation";"trophic_invertebrate";"trophic_vertebrate"
"ACCNIS";0.620015;20.0974;12.3454;15.773;20.0974;4.3244;3;20.09;0;0;100
"AEGCAU";0.438564;19.328;12.9783;13.3142;19.328;6.01376;1.95;7.03;5;95;0
"ALAARV";0.921955;19.7438;12.508;15.4477;19.7438;4.29613;1.25;3.49;75;25;0
"ALERUF";0.92039;20.5323;15.2367;11.2723;20.5323;9.26;1.1;3;90;10;0
"ANTCAM";1.50106;21.4068;15.7224;11.5149;21.4068;9.89193;1.95;7.03;5;95;0
"ANTPRA";1.26191;15.2037;9.85028;13.4452;15.2037;1.75849;1.75;5.75;25;75;0
"ANTTRI";0.705309;17.9549;11.6459;13.9098;17.9549;4.04508;1.95;7.03;5;95;0
"APUAPU";1.24046;21.2854;13.2293;16.075;21.2854;5.21042;2;7.39;0;100;0
"BUROED";1.52193;29.1006;18.5569;17.9197;29.1006;11.1809;1.95;7.03;5;95;0
"BUTBUT";0.585595;19.4801;13.0152;13.1745;19.4801;6.30557;2.9;18.17;0;10;90
"CARCAN";0.597376;21.4034;14.2114;13.2644;21.4034;8.13908;1.05;2.86;95;5;0
"CARCAR";0.650258;22.9379;14.6936;14.3588;22.9379;8.5791;1.05;2.86;95;5;0
"CARCHL";0.570617;21.5397;13.8886;15.2923;21.5397;6.24732;1.05;2.86;95;5;0
"CERBRA";0.544511;21.2164;15.3616;12.1146;21.2164;9.10174;2;7.39;0;100;0
"CERFAM";1.42419;17.7345;11.7709;12.6035;17.7345;5.13102;1.95;7.03;5;95;0
"CETCET";1.14564;23.3435;16.9112;14.7673;23.3435;8.57622;2;7.39;0;100;0
"CIRAER";2.38313;22.6326;13.6722;15.1964;22.6326;7.43621;3;20.09;0;0;100
"CIRCYA";1.48217;16.833;11.063;13.2879;16.833;3.54511;3;20.09;0;0;100
"CIRPYG";1.5083;19.6703;14.3518;9.32976;19.6703;10.3405;2.6;13.46;0;40;60
"CISJUN";1.64227;27.854;19.0736;15.5653;27.854;12.2886;2;7.39;0;100;0
"COCCOC";0.857174;19.8149;14.0176;10.9858;19.8149;8.8291;1.05;2.86;95;5;0
"COLLIV";2.15525;30.228;15.5755;23.37;30.228;6.858;1.01;2.75;99;1;0
"COLOEN";0.951158;19.2938;13.4029;11.2216;19.2938;8.07224;1.01;2.75;99;1;0
"COLPAL";0.210529;21.5235;12.989;16.3147;21.5235;5.20879;1.01;2.75;99;1;0
"CORFRU";0.879635;18.7374;13.4259;11.0666;18.7374;7.67086;1.63;5.1;46;42;11
"CORMON";0.834487;20.2449;13.4372;13.6661;20.2449;6.57877;1.11;3.03;90;9;1
"CORRAX";1.03099;22.6104;12.3658;20.2476;22.6104;2.36277;1.75;5.75;50;25;25
"COTCOT";1.35456;22.1066;14.693;13.7205;22.1066;8.3861;1.22;3.39;78;22;0
"CUCCAN";0.436097;20.46;12.714;16.1486;20.46;4.31148;2;7.39;0;100;0
"DELURB";1.55545;21.4263;13.0523;17.0008;21.4263;4.42548;2;7.39;0;100;0
"DENMAJ";0.579273;19.3768;12.1895;15.2036;19.3768;4.17318;1.7;5.47;30;70;0
"DENMED";1.79394;19.7291;14.6267;10.278;19.7291;9.4511;1.7;5.47;30;70;0
"DENMIN";0.591457;18.9171;11.9554;14.8884;18.9171;4.02869;2;7.39;0;100;0
"DRYMAR";1.09912;17.5672;11.3861;13.1613;17.5672;4.4059;2;7.39;0;100;0
"EMBCIA";0.670555;22.7405;15.816;16.8576;22.7405;5.88289;1.3;3.67;70;30;0
"EMBCIR";0.473803;21.45;16.5473;11.8069;21.45;9.64315;1.3;3.67;70;30;0
"EMBCIT";0.577612;17.3722;11.7548;12.8308;17.3722;4.54137;1.3;3.67;70;30;0
"EMBHOR";0.991336;19.3929;13.1475;12.7177;19.3929;6.67514;1.95;7.03;5;95;0
"ERIRUB";0.414872;19.5628;12.2379;14.9169;19.5628;4.64583;1.83;6.23;17;83;0
"FALSUB";1.28034;20.0283;13.3098;13.8093;20.0283;6.21897;2.25;9.49;0;75;25
"FALTIN";0.656079;25.6245;13.7595;21.4584;25.6245;4.16607;2.85;17.29;0;15;85
"FRICOE";0.251446;21.132;13.0696;16.3341;21.132;4.79794;1.1;3;90;10;0
"GALCRI";1.43798;29.4257;17.7215;19.0139;29.4257;10.4118;1.55;4.71;45;55;0
"GARGLA";0.439798;20.6722;12.9317;15.4567;20.6722;5.21551;1.72;5.58;28;72;0
"HIPPOL";0.395575;21.5603;16.1998;13.4147;21.5603;8.14565;1.95;7.03;5;95;0
"HIRRUS";1.00694;24.3558;13.7202;19.2028;24.3558;5.15301;2;7.39;0;100;0
"JYNTOR";0.468726;19.1389;12.5214;14.1635;19.1389;4.97541;2;7.39;0;100;0
"LANCOL";0.920833;19.7362;13.4682;12.5961;19.7362;7.14011;2.15;8.58;0;85;15
"LULARB";0.623972;21.2742;14.5056;12.4622;21.2742;8.81198;1.5;4.48;50;50;0
"LUSMEG";0.358723;22.2074;16.0099;13.3447;22.2074;8.86272;2;7.39;0;100;0
"MERAPI";1.02448;24.0378;16.4095;14.3269;24.0378;9.71084;2;7.39;0;100;0
"MILMIG";0.840926;21.7092;13.9509;14.8916;21.7092;6.81755;2.83;16.95;0;17;83
"MOTALB";0.635722;20.056;11.8371;18.4186;20.056;1.63743;2;7.39;0;100;0
"MOTFLA";1.6649;21.4981;12.6236;17.551;21.4981;3.94717;2;7.39;0;100;0
"MUSSTR";0.649096;20.7408;12.6632;16.4036;20.7408;4.33717;2;7.39;0;100;0
"OENOEN";1.28301;19.8588;11.5893;18.5619;19.8588;1.29683;1.95;7.03;5;95;0
"ORIORI";0.459814;20.5141;14.4162;11.8073;20.5141;8.70674;1.95;7.03;5;95;0
"PARATE";0.976722;19.8551;12.3275;14.2139;19.8551;5.64115;1.6;4.95;40;60;0
"PARCAE";0.300248;20.8357;13.8151;14.4744;20.8357;6.36133;1.8;6.05;20;80;0
"PARCRI";1.27495;17.9174;12.1938;11.9518;17.9174;5.96556;1.6;4.95;40;60;0
"PARMAJ";0.228392;20.8579;12.8921;16.3441;20.8579;4.51377;1.85;6.36;15;85;0
"PARMON";0.807668;15.9845;10.7927;12.4771;15.9845;3.50745;1.6;4.95;40;60;0
"PARPAL";0.784673;17.9866;13.3596;11.6305;17.9866;6.35607;1.7;5.47;30;70;0
"PASDOM";1.10447;27.7104;13.8934;24.0132;27.7104;3.69728;1.2;3.32;80;20;0
"PASMON";0.91032;19.4418;12.8182;15.622;19.4418;3.81977;1.15;3.16;85;15;0
"PERPER";1.11597;18.8805;13.3899;10.6253;18.8805;8.25517;1.1;3;90;10;0
"PHACOL";0.532474;19.3016;14.1541;10.8734;19.3016;8.42817;1.25;3.49;75;25;0
"PHOOCH";0.958918;20.7704;14.4645;12.9299;20.7704;7.84044;1.85;6.36;15;85;0
"PHOPHO";0.690626;18.89;11.7703;15.1255;18.89;3.76445;1.93;6.89;7;93;0
"PHYBON";0.629748;21.5934;15.5607;15.7586;21.5934;5.83487;2;7.39;0;100;0
"PHYCOL";0.394842;17.757;11.5805;14.0988;17.757;3.65817;1.95;7.03;5;95;0
"PHYSIB";1.32234;17.1979;12.4653;10.8992;17.1979;6.29872;1.95;7.03;5;95;0
"PICPIC";0.629173;22.5157;12.6757;18.8408;22.5157;3.67492;1.51;4.53;50;49;1
"PICVIR";0.325771;19.5996;13.7777;13.0868;19.5996;6.51277;2;7.39;0;100;0
"PRUMOD";0.287379;17.5781;10.9918;13.9506;17.5781;3.62745;1.5;4.48;50;50;0
"REGIGN";0.819508;20.6917;14.5515;12.7657;20.6917;7.92593;2;7.39;0;100;0
"REGREG";1.34067;17.0259;11.1916;12.4064;17.0259;4.61946;2;7.39;0;100;0
"SAXRUB";1.00506;17.8335;11.6614;13.6775;17.8335;4.15606;2;7.39;0;100;0
"SAXTOR";0.688668;21.0812;15.2056;13.2555;21.0812;7.82576;2;7.39;0;100;0
"SERSER";0.681981;22.158;15.5488;13.0175;22.158;9.14048;1;2.72;100;0;0
"SITEUR";0.778929;19.6074;13.0224;13.2114;19.6074;6.39604;1.63;5.1;37;63;0
"STRDEC";0.960984;26.9157;14.6564;19.7723;26.9157;7.14336;1;2.72;100;0;0
"STRTUR";0.379551;29.5579;15.5491;21.8016;29.5579;7.75632;1;2.72;100;0;0
"STUVUL";0.530414;19.2662;12.3572;14.9439;19.2662;4.32237;1.5;4.48;50;50;0
"SYLATR";0.235556;20.0016;13.1921;13.8615;20.0016;6.14015;1.6;4.95;40;60;0
"SYLBOR";0.449187;17.7172;12.0225;13.1888;17.7172;4.52839;1.6;4.95;40;60;0
"SYLCAN";1.24176;22.1208;17.3734;12.0385;22.1208;10.0823;1.8;6.05;20;80;0
"SYLCOM";0.556872;20.3339;13.3891;13.5529;20.3339;6.78104;1.6;4.95;40;60;0
"SYLCUR";0.773661;18.5634;12.3091;13.3496;18.5634;5.21378;1.8;6.05;20;80;0
"SYLHOR";0.966924;21.8019;17.5009;12.0605;21.8019;9.74135;1.7;5.47;30;70;0
"SYLMEL";0.596166;23.0259;18.3292;12.0397;23.0259;10.9863;1.7;5.47;30;70;0
"SYLUND";1.46052;21.0617;16.7325;10.1522;21.0617;10.9095;1.9;6.69;10;90;0
"TROTRO";0.34744;20.6657;12.9074;15.9244;20.6657;4.74128;2;7.39;0;100;0
"TURMER";0.193482;21.7949;13.7146;16.3924;21.7949;5.40248;1.6;4.95;40;60;0
"TURPHI";0.375644;17.9786;11.6012;14.214;17.9786;3.76458;1.57;4.81;43;57;0
"TURPIL";0.892988;16.2458;10.5189;13.5309;16.2458;2.71486;1.6;4.95;40;60;0
"TURVIS";0.506435;19.8083;12.4433;14.7843;19.8083;5.02401;1.55;4.71;45;55;0
"UPUEPO";0.386247;24.5791;15.9169;15.3301;24.5791;9.24903;2;7.39;0;100;0
"VANVAN";2.01969;18.5567;11.9405;14.1509;18.5567;4.40578;1.9;6.69;10;90;0
