pk_species,euring,taxref,indicator,habitat_specialisation_f,habitat_specialisation,european_fbi,french_fbi,montane_lehikoinen,french_trim
ACCGEN,2670,2891,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACCNIS,2690,2895,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRAGR,12470,199459,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRARU,12530,4198,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRDUM,12480,4190,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRMEL,12410,4180,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRPAL,12420,4184,FALSE,,,FALSE,FALSE,FALSE,FALSE
ACRRIS,12500,4192,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRSCH,12430,4187,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACRSCI,12510,4195,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACTHYP,5560,2616,FALSE,,,FALSE,FALSE,FALSE,TRUE
ACTMAC,5570,459460,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGCAU,14370,4342,FALSE,,,FALSE,FALSE,FALSE,TRUE
AEGCAUCAU,14371,804727,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGCAUROS,14375,,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGFUN,7700,3533,FALSE,,,FALSE,FALSE,FALSE,FALSE
AEGMON,2550,2869,FALSE,,,FALSE,FALSE,FALSE,FALSE
AGAROS,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
AIXGAL,1780,2776,FALSE,,,FALSE,FALSE,FALSE,FALSE
AIXSPO,1770,2775,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALAARV,9760,3676,TRUE,milieux agricoles,farmland,TRUE,TRUE,TRUE,TRUE
ALCATT,8310,3571,FALSE,,,FALSE,FALSE,FALSE,TRUE
ALCTOR,6360,3388,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALEBAR,3590,2978,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALECHU,3550,2981,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALEGRA,3570,2971,FALSE,,,FALSE,FALSE,TRUE,FALSE
ALERUF,3580,2975,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
ALLALL,6470,3396,FALSE,,,FALSE,FALSE,FALSE,FALSE
ALOAEG,1700,459626,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAACU,1890,1973,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAAME,1800,1953,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANACLY,1940,1970,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANACRE,1840,1958,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANADIS,1920,1962,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAFOR,1830,1964,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAPEN,1790,1950,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANAPLA,1860,1966,FALSE,,,FALSE,FALSE,FALSE,TRUE
ANAQUE,1910,1975,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANARUB,1870,1968,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANASTR,1820,1956,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALB,1590,2734,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALBALB,1591,2737,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSALBFLA,1592,2738,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANS,1610,2741,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANSANS,1611,2744,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSANSRUB,1612,2745,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSBRA,1580,2725,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSCAE,1630,2727,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSCAEATL,1632,,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSCAECAE,1631,,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSERY,1600,2739,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSFAB,1570,2720,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSFABFAB,1571,2723,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSFABJOH,1572,,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSFABROS,1574,2724,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANSIND,1620,2731,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTCAM,10050,3713,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
ANTCER,10120,3729,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTGUS,10100,3738,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTHOD,10080,3736,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTPET,10142,3716,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTPETLIT,10143,3719,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTPRA,10110,3726,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
ANTRIC,10020,3709,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTSPI,10140,3733,FALSE,,,FALSE,FALSE,TRUE,FALSE
ANTSPISPI,10140,162665,FALSE,,,FALSE,FALSE,FALSE,FALSE
ANTTRI,10090,3723,FALSE,,,FALSE,FALSE,FALSE,TRUE
APUAPU,7950,3551,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
APUCAF,7990,,FALSE,,,FALSE,FALSE,FALSE,FALSE
APUMEL,7980,3558,FALSE,,,FALSE,FALSE,FALSE,FALSE
APUPAL,7960,3555,FALSE,,,FALSE,FALSE,FALSE,FALSE
AQUADA,2952,2634,FALSE,,,FALSE,FALSE,FALSE,FALSE
AQUCHR,2960,2645,FALSE,,,FALSE,FALSE,TRUE,FALSE
AQUCLA,2930,836346,FALSE,,,FALSE,FALSE,FALSE,FALSE
AQUHEL,2950,2643,FALSE,,,FALSE,FALSE,FALSE,FALSE
AQUNIP,30530,2648,FALSE,,,FALSE,FALSE,FALSE,FALSE
AQUPOM,2920,836345,FALSE,,,FALSE,FALSE,FALSE,FALSE
ARDCIN,1220,2506,FALSE,,,FALSE,FALSE,FALSE,TRUE
ARDMEL,20310,2510,FALSE,,,FALSE,FALSE,FALSE,FALSE
ARDPUR,1240,2508,FALSE,,,FALSE,FALSE,FALSE,FALSE
ARDRAL,1080,2486,FALSE,,,FALSE,FALSE,FALSE,FALSE
AREINT,5610,3239,FALSE,,,FALSE,FALSE,FALSE,FALSE
ASIFLA,7680,3525,FALSE,,,FALSE,FALSE,FALSE,FALSE
ASIOTU,7670,3522,FALSE,,,FALSE,FALSE,FALSE,FALSE
ATHNOC,7570,3511,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTAFF,2050,199305,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTCOL,2000,1988,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTFER,1980,1991,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTFERNYR,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTFUL,2030,1998,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTMAR,2040,2001,FALSE,,,FALSE,FALSE,FALSE,FALSE
AYTNYR,2020,1995,FALSE,,,FALSE,FALSE,FALSE,FALSE
BARLON,5440,199360,FALSE,,,FALSE,FALSE,FALSE,FALSE
BOMGAR,10480,3953,FALSE,,,FALSE,FALSE,FALSE,FALSE
BONBON,3260,199294,FALSE,,,FALSE,FALSE,FALSE,FALSE
BOTSTE,950,2473,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRABER,1680,2757,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRABERBER,1681,2760,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRABERHRO,1682,2762,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRACAN,1660,2747,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRALEU,1670,2750,FALSE,,,FALSE,FALSE,FALSE,FALSE
BRARUF,1690,2753,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUBBUB,7440,3493,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUBIBI,1110,2489,FALSE,,,TRUE,FALSE,FALSE,TRUE
BUCCLA,2180,2808,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUCISL,2170,2805,FALSE,,,FALSE,FALSE,FALSE,FALSE
BULBUL,340,1005,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUROED,4590,3120,FALSE,,,TRUE,FALSE,FALSE,TRUE
BUTBUT,2870,2623,TRUE,milieux agricoles,farmland,FALSE,TRUE,FALSE,TRUE
BUTBUTVUL,2872,779863,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUTLAG,2900,2630,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUTRUF,2880,2627,FALSE,,,FALSE,FALSE,FALSE,FALSE
BUTVIR,,199328,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALACU,5080,3231,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALALB,4970,3195,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALALP,5120,2911,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALALPALP,5121,2916,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALALPSCH,5123,2918,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALBAI,5060,3222,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALBRA,9680,3649,FALSE,,,TRUE,FALSE,FALSE,FALSE
CALCAL,3410,3014,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALCAN,4960,3192,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALDIO,360,1009,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALFER,5090,2901,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALFUS,5050,3218,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALLAP,18470,4644,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALLIS,5000,199353,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALLLA,5040,3214,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALMAR,5100,2906,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALMAU,4990,3203,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALMEL,5070,3226,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALMIN,5010,3206,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALPUS,4980,3199,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALRUF,9700,199485,FALSE,,,FALSE,FALSE,FALSE,FALSE
CALTEM,5020,3210,FALSE,,,FALSE,FALSE,FALSE,FALSE
CAPEUR,7780,3540,FALSE,,,FALSE,FALSE,FALSE,FALSE
CAPRUF,7790,3544,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARCAN,16600,4588,TRUE,milieux agricoles,farmland,TRUE,TRUE,TRUE,TRUE
CARCAR,16530,4583,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
CARCHL,16490,4580,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
CARERY,16790,4616,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARFLA,16630,4595,FALSE,,,FALSE,FALSE,TRUE,FALSE
CARFLACAB,16634,4598,FALSE,,,FALSE,FALSE,TRUE,FALSE
CARFLAFLA,16631,4600,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARFLAROS,16632,,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARHOR,16640,199503,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARHOREXI,16642,,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARHORHOR,16641,,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARRIS,16620,4590,FALSE,,,FALSE,FALSE,FALSE,FALSE
CARSPI,16540,4586,FALSE,,,FALSE,FALSE,FALSE,FALSE
CATMIN,11780,4106,FALSE,,,FALSE,FALSE,FALSE,FALSE
CATSEM,5600,626151,FALSE,,,FALSE,FALSE,FALSE,FALSE
CATUST,11770,4100,FALSE,,,FALSE,FALSE,FALSE,FALSE
CEPGRY,6380,3392,FALSE,,,FALSE,FALSE,FALSE,FALSE
CERBRA,14870,3791,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
CERFAM,14860,3784,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
CERGAL,10950,3996,FALSE,,,FALSE,FALSE,FALSE,FALSE
CETCET,12200,4151,FALSE,,,FALSE,FALSE,FALSE,TRUE
CHAALE,4770,3142,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHAASI,4800,3150,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHADUB,4690,3136,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHAHIA,4700,3140,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHALES,4790,3148,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHAMOR,4820,3155,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHAVOC,4740,3144,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHEDUP,9590,3666,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHEGRE,4910,3178,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHELEU,4920,3182,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHLHYB,6260,459627,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHLLEU,6280,3374,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHLNIG,6270,3371,FALSE,,,FALSE,FALSE,FALSE,FALSE
CHLUND,4440,,FALSE,,,FALSE,FALSE,FALSE,FALSE
CICCIC,1340,2517,FALSE,,,TRUE,FALSE,FALSE,TRUE
CICNIG,1310,2514,FALSE,,,FALSE,FALSE,FALSE,FALSE
CINCIN,10500,3958,FALSE,,,FALSE,FALSE,FALSE,FALSE
CIRAER,2600,2878,FALSE,,,FALSE,FALSE,FALSE,TRUE
CIRCYA,2610,2881,FALSE,,,FALSE,FALSE,FALSE,FALSE
CIRGAL,2560,2873,FALSE,,,FALSE,FALSE,FALSE,FALSE
CIRMAC,2620,2884,FALSE,,,FALSE,FALSE,FALSE,FALSE
CIRPYG,2630,2887,FALSE,,,FALSE,FALSE,FALSE,FALSE
CISJUN,12260,4155,FALSE,,,FALSE,FALSE,FALSE,TRUE
CLAGLA,7160,3461,FALSE,,,FALSE,FALSE,FALSE,TRUE
CLAHYE,2120,2790,FALSE,,,FALSE,FALSE,FALSE,FALSE
COCAME,7280,3476,FALSE,,,FALSE,FALSE,FALSE,FALSE
COCCOC,17170,4625,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
COLLIV,6650,3420,FALSE,,,FALSE,FALSE,FALSE,FALSE
COLOEN,6680,3422,FALSE,,,FALSE,FALSE,FALSE,TRUE
COLPAL,6700,3424,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
COLVIR,3450,3017,FALSE,,,FALSE,FALSE,FALSE,FALSE
CORCOR,15670,4503,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
CORCORNIX,15673,4505,FALSE,,,FALSE,FALSE,FALSE,FALSE
CORCORSAR,,4509,FALSE,,,FALSE,FALSE,FALSE,FALSE
CORDAU,15610,199412,FALSE,,,FALSE,FALSE,FALSE,FALSE
CORFRU,15630,4501,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
CORGAR,8410,3586,FALSE,,,FALSE,FALSE,FALSE,FALSE
CORMON,15600,4494,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
CORMONMON,15601,4497,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,FALSE
CORRAX,15720,4510,FALSE,,,FALSE,FALSE,FALSE,TRUE
COTCOT,3700,2996,TRUE,milieux agricoles,farmland,FALSE,TRUE,FALSE,FALSE
CRECRE,4210,3053,FALSE,,,FALSE,FALSE,FALSE,FALSE
CUCCAN,7240,3465,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
CURCUR,4640,3125,FALSE,,,FALSE,FALSE,FALSE,FALSE
CYACYA,15470,199411,FALSE,,,FALSE,FALSE,FALSE,FALSE
CYGATR,20800,2702,FALSE,,,FALSE,FALSE,FALSE,FALSE
CYGCOL,1530,2709,FALSE,,,FALSE,FALSE,FALSE,FALSE
CYGCYG,1540,2715,FALSE,,,FALSE,FALSE,FALSE,FALSE
CYGOLO,1520,2706,FALSE,,,FALSE,FALSE,FALSE,TRUE
DELURB,10010,459478,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
DENLEU,8840,3625,FALSE,,,FALSE,FALSE,FALSE,FALSE
DENMAJ,8760,3611,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
DENMED,8830,3619,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
DENMIN,8870,3630,FALSE,,,FALSE,FALSE,FALSE,TRUE
DENSTR,17530,627671,FALSE,,,FALSE,FALSE,FALSE,FALSE
DENSYR,8780,,FALSE,,,FALSE,FALSE,FALSE,FALSE
DENVID,,2399,FALSE,,,FALSE,FALSE,FALSE,FALSE
DIOEXU,200,988,FALSE,,,FALSE,FALSE,FALSE,FALSE
DIOMEL,140,442424,FALSE,,,FALSE,FALSE,FALSE,FALSE
DRYMAR,8630,3608,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
EGRALB,1210,2504,FALSE,,,FALSE,FALSE,FALSE,FALSE
EGRGAR,1190,2497,FALSE,,,FALSE,FALSE,FALSE,TRUE
EGRGUL,1180,2494,FALSE,,,FALSE,FALSE,FALSE,FALSE
ELACAE,2350,2836,FALSE,,,FALSE,FALSE,FALSE,FALSE
EMBAUR,18760,4678,FALSE,,,FALSE,FALSE,FALSE,FALSE
EMBCAE,18680,4674,FALSE,,,FALSE,FALSE,FALSE,FALSE
EMBCIA,18600,4663,FALSE,,,FALSE,FALSE,TRUE,TRUE
EMBCIR,18580,4659,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
EMBCIT,18570,4657,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
EMBHOR,18660,4665,FALSE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
EMBLEU,18560,199522,FALSE,,,FALSE,FALSE,FALSE,FALSE
EMBMEL,18810,4680,FALSE,,,TRUE,FALSE,FALSE,FALSE
EMBPUS,18740,4667,FALSE,,,FALSE,FALSE,FALSE,FALSE
EMBSCH,18770,4669,FALSE,,,FALSE,FALSE,FALSE,TRUE
EREALP,9780,3681,FALSE,,,FALSE,FALSE,FALSE,FALSE
ERIRUB,10990,4001,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
EUOMAL,16180,534746,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALBIA,3140,2683,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALCHE,3160,2672,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALCOL,3090,2676,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALELE,3110,2681,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALNAU,3030,2666,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALPER,3200,2938,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALRUS,3180,2931,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALSUB,3100,2679,FALSE,,,FALSE,FALSE,FALSE,FALSE
FALTIN,3040,2669,TRUE,milieux agricoles,farmland,TRUE,TRUE,TRUE,TRUE
FALVES,3070,2674,FALSE,,,FALSE,FALSE,FALSE,FALSE
FICALB,13480,4327,FALSE,,,FALSE,FALSE,FALSE,FALSE
FICHYP,13490,4330,FALSE,,,FALSE,FALSE,FALSE,TRUE
FICPAR,13430,4324,FALSE,,,FALSE,FALSE,FALSE,FALSE
FRAARC,6540,3402,FALSE,,,FALSE,FALSE,FALSE,FALSE
FREMAG,930,2468,FALSE,,,FALSE,FALSE,FALSE,FALSE
FRICOE,16360,4564,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
FRIMON,16380,4568,FALSE,,,FALSE,FALSE,FALSE,FALSE
FULATR,4290,3070,FALSE,,,FALSE,FALSE,FALSE,TRUE
FULCRI,4310,3072,FALSE,,,FALSE,FALSE,FALSE,FALSE
FULGLA,220,998,FALSE,,,FALSE,FALSE,FALSE,FALSE
GALCHL,4240,3059,FALSE,,,FALSE,FALSE,FALSE,TRUE
GALCRI,9720,3656,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
GALGAL,5190,2543,FALSE,,,FALSE,FALSE,FALSE,FALSE
GALMED,5200,2549,FALSE,,,FALSE,FALSE,FALSE,FALSE
GALTHE,9730,3661,FALSE,,,TRUE,FALSE,FALSE,FALSE
GARGLA,15390,4466,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
GAVADA,50,953,FALSE,,,FALSE,FALSE,FALSE,FALSE
GAVARC,30,956,FALSE,,,FALSE,FALSE,FALSE,FALSE
GAVIMM,40,959,FALSE,,,FALSE,FALSE,FALSE,FALSE
GAVSTE,20,2411,FALSE,,,FALSE,FALSE,FALSE,FALSE
GELNIL,6050,3332,FALSE,,,FALSE,FALSE,FALSE,FALSE
GLANOR,4670,3132,FALSE,,,FALSE,FALSE,FALSE,FALSE
GLAPAS,7510,3507,FALSE,,,FALSE,FALSE,FALSE,FALSE
GLAPRA,4650,3129,FALSE,,,FALSE,FALSE,FALSE,FALSE
GRIVES,12069,198744,FALSE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
GRUGRU,4330,3076,FALSE,,,FALSE,FALSE,FALSE,FALSE
GYPBAR,2460,2852,FALSE,,,FALSE,FALSE,FALSE,FALSE
GYPFUL,2510,2860,FALSE,,,FALSE,FALSE,FALSE,FALSE
HAEOST,4500,3106,FALSE,,,FALSE,FALSE,FALSE,FALSE
HALALB,2430,2848,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIEFAS,2990,2657,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIEPEN,2980,2651,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIMHIM,4550,3112,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIPCAL,12560,199465,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIPICT,12590,4212,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIPOLI,12580,,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIPPAL,12550,199463,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIPPOL,12600,4215,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
HIRDAU,9950,3701,FALSE,,,FALSE,FALSE,FALSE,FALSE
HIRRUS,9920,3696,TRUE,milieux bâtis,urban,TRUE,FALSE,FALSE,TRUE
HISHIS,2110,2788,FALSE,,,FALSE,FALSE,FALSE,FALSE
HOPSPI,4870,,FALSE,,,FALSE,FALSE,FALSE,FALSE
HYDPEL,520,2419,FALSE,,,FALSE,FALSE,FALSE,FALSE
IXOMIN,980,2477,FALSE,,,FALSE,FALSE,FALSE,FALSE
JYNTOR,8480,3595,FALSE,,,FALSE,FALSE,FALSE,TRUE
LAGLAG,3290,2948,FALSE,,,FALSE,FALSE,FALSE,FALSE
LAGLAGSCO,3292,,FALSE,,,FALSE,FALSE,FALSE,FALSE
LAGMUT,3300,459629,FALSE,,,FALSE,FALSE,TRUE,FALSE
LANCOL,15150,3807,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
LANEXC,15200,3814,FALSE,,,FALSE,FALSE,FALSE,FALSE
LANISA,15140,459630,FALSE,,,FALSE,FALSE,FALSE,FALSE
LANMER,32910,199409,FALSE,,,FALSE,FALSE,FALSE,FALSE
LANMIN,15190,3811,FALSE,,,TRUE,FALSE,FALSE,FALSE
LANSEN,15230,4460,FALSE,,,TRUE,FALSE,FALSE,TRUE
LARARG,5920,3302,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARARGARG,5920,,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARATR,5760,627332,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARAUD,5880,627743,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARCAC,5927,3289,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARCAN,5900,3293,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARDEL,5890,3278,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARFUS,5910,3297,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARFUSFUS,5911,3299,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARFUSGRA,5912,3300,FALSE,,,FALSE,FALSE,FALSE,FALSE
LARGEN,5850,534662,FALSE,,,FALSE,FALSE,FALSE,FALSE
